airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,departure_airport,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arrival_airport,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,arr_actual,arr_actual_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,arr_actual_ts,dep_actual_ts,departure_delay,delay_category,departure_terminal,arrival_terminal
AC,ACA,AC5453,ACA5453,5453,DEN,KDEN,,B46,2025-04-25 20:45,2025-04-26 02:45,2025-04-25 23:30,2025-04-26 05:30,2025-04-25 23:30,2025-04-26 05:30,OMA,KOMA,,B14,,2025-04-25 23:15,2025-04-26 04:15,2025-04-26 01:50,2025-04-26 06:50,2025-04-26 01:50,2025-04-26 06:50,UA,445,UA445,landed,90,155,165.0,155.0,,1745640900,1745635500,1745650200.0,1745645400.0,1745650200.0,1745645400.0,165,Long Delay,Unknown,Unknown
WN,SWA,WN4309,SWA4309,4309,DEN,KDEN,,,2025-04-25 20:15,2025-04-26 02:15,2025-04-25 23:30,2025-04-26 05:30,2025-04-25 23:30,2025-04-26 05:30,MSP,KMSP,2,,,2025-04-25 23:10,2025-04-26 04:10,2025-04-26 02:19,2025-04-26 07:19,2025-04-26 02:19,2025-04-26 07:19,,,,landed,115,189,195.0,189.0,,1745640600,1745633700,1745651940.0,1745645400.0,1745651940.0,1745645400.0,195,Long Delay,Unknown,2
PC,PGT,PC2770,PGT2770,2770,SAW,LTFJ,,410,2025-04-26 06:40,2025-04-26 03:40,2025-04-26 08:30,2025-04-26 05:30,2025-04-26 08:30,2025-04-26 05:30,RZV,LTFO,,,,2025-04-26 08:30,2025-04-26 05:30,2025-04-26 10:20,2025-04-26 07:20,,,,,,active,110,110,110.0,110.0,A21N,1745645400,1745638800,1745652000.0,1745645400.0,,1745645400.0,110,Long Delay,Unknown,Unknown
CM,CMP,CM1112,CMP1112,1112,DEN,KDEN,,B46,2025-04-25 20:45,2025-04-26 02:45,2025-04-25 23:30,2025-04-26 05:30,2025-04-25 23:30,2025-04-26 05:30,OMA,KOMA,,B14,,2025-04-25 23:15,2025-04-26 04:15,2025-04-26 01:50,2025-04-26 06:50,2025-04-26 01:50,2025-04-26 06:50,UA,445,UA445,landed,90,155,165.0,155.0,,1745640900,1745635500,1745650200.0,1745645400.0,1745650200.0,1745645400.0,165,Long Delay,Unknown,Unknown
UA,UAL,UA445,UAL445,445,DEN,KDEN,,B46,2025-04-25 20:45,2025-04-26 02:45,2025-04-25 23:30,2025-04-26 05:30,2025-04-25 23:30,2025-04-26 05:30,OMA,KOMA,,B14,,2025-04-25 23:15,2025-04-26 04:15,2025-04-26 01:50,2025-04-26 06:50,2025-04-26 01:50,2025-04-26 06:50,,,,landed,90,155,165.0,155.0,,1745640900,1745635500,1745650200.0,1745645400.0,1745650200.0,1745645400.0,165,Long Delay,Unknown,Unknown
AV,AVA,AV198,AVA198,198,GIG,SBGL,2,C69,2025-04-26 01:30,2025-04-26 04:30,2025-04-26 02:31,2025-04-26 05:31,2025-04-26 02:31,2025-04-26 05:31,BOG,SKBO,1,,,2025-04-26 05:54,2025-04-26 10:54,2025-04-26 07:09,2025-04-26 12:09,,,,,,active,384,75,61.0,75.0,A20N,1745664840,1745641800,1745669340.0,1745645460.0,,1745645460.0,61,Long Delay,2,1
G3,GLO,G35839,GLO5839,5839,GIG,SBGL,2,C69,2025-04-26 01:30,2025-04-26 04:30,2025-04-26 02:31,2025-04-26 05:31,2025-04-26 02:31,2025-04-26 05:31,BOG,SKBO,1,,,2025-04-26 05:54,2025-04-26 10:54,2025-04-26 07:09,2025-04-26 12:09,,,AV,198,AV198,active,384,75,61.0,75.0,,1745664840,1745641800,1745669340.0,1745645460.0,,1745645460.0,61,Long Delay,2,1
WN,SWA,WN4197,SWA4197,4197,LAS,KLAS,1,C11,2025-04-25 20:45,2025-04-26 03:45,2025-04-25 22:32,2025-04-26 05:32,2025-04-25 22:32,2025-04-26 05:32,BUR,KBUR,,,,2025-04-25 21:55,2025-04-26 04:55,2025-04-25 23:35,2025-04-26 06:35,2025-04-25 23:35,2025-04-26 06:35,,,,landed,70,100,107.0,100.0,,1745643300,1745639100,1745649300.0,1745645520.0,1745649300.0,1745645520.0,107,Long Delay,1,Unknown
AY,FIN,AY5048,FIN5048,5048,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
AS,ASA,AS5020,ASA5020,5020,WLG,NZWN,,,2025-04-26 15:55,2025-04-26 03:55,2025-04-26 17:33,2025-04-26 05:33,2025-04-26 17:33,2025-04-26 05:33,SYD,YSSY,1,63,9,2025-04-26 17:35,2025-04-26 07:35,2025-04-26 18:43,2025-04-26 08:43,,,QF,164,QF164,active,220,68,98.0,68.0,,1745652900,1745639700,1745656980.0,1745645580.0,,1745645580.0,98,Long Delay,Unknown,1
